Filename,Eulerian Circuits,Time Elapsed (s),Status
chain_g12_M50_r3.gr,2048,4.50672,COMPLETE
chain_g12_M70_r1.gr,2048,9.80971,COMPLETE
chain_g12_M70_r2.gr,2048,10.3401,COMPLETE
chain_g12_M70_r3.gr,2048,11.1408,COMPLETE
chain_g12_M90_r1.gr,2048,29.531,COMPLETE
chain_g12_M90_r2.gr,2048,29.7567,COMPLETE
chain_g12_M90_r3.gr,2048,30.0157,COMPLETE
chain_g8_M110_r1.gr,128,2.39163,COMPLETE
chain_g8_M110_r2.gr,128,2.37461,COMPLETE
chain_g8_M110_r3.gr,128,2.27768,COMPLETE
chain_g8_M130_r1.gr,128,3.16474,COMPLETE
chain_g8_M130_r2.gr,128,3.12976,COMPLETE
chain_g8_M130_r3.gr,128,3.31089,COMPLETE
chain_g8_M150_r1.gr,128,4.97936,COMPLETE
chain_g8_M150_r2.gr,128,5.06062,COMPLETE
chain_g8_M150_r3.gr,128,4.72472,COMPLETE
chain_g8_M180_r1.gr,128,10.1701,COMPLETE
chain_g8_M180_r2.gr,128,9.30643,COMPLETE
chain_g8_M180_r3.gr,128,8.23101,COMPLETE
chain_g8_M210_r1.gr,128,19.0889,COMPLETE
chain_g8_M210_r2.gr,128,17.3156,COMPLETE
chain_g8_M210_r3.gr,128,15.7597,COMPLETE
chain_g8_M250_r1.gr,128,34.6013,COMPLETE
chain_g8_M250_r2.gr,128,33.3262,COMPLETE
chain_g8_M250_r3.gr,128,34.4241,COMPLETE
chain_g8_M30_r1.gr,128,0.0686841,COMPLETE
chain_g8_M30_r2.gr,128,0.0621235,COMPLETE
chain_g8_M30_r3.gr,128,0.0504627,COMPLETE
chain_g8_M50_r1.gr,128,0.192054,COMPLETE
chain_g8_M50_r2.gr,128,0.196387,COMPLETE
chain_g8_M50_r3.gr,128,0.191626,COMPLETE
chain_g8_M70_r1.gr,128,0.464565,COMPLETE
chain_g8_M70_r2.gr,128,0.504031,COMPLETE
chain_g8_M70_r3.gr,128,0.432906,COMPLETE
chain_g8_M90_r1.gr,128,1.38827,COMPLETE
chain_g8_M90_r2.gr,128,1.19391,COMPLETE
chain_g8_M90_r3.gr,128,1.1306,COMPLETE
